1N-Z,N,Z,A,EL,O,Mass Excess,Mass Excess Error,Mass Excess Experimental,Binding Energy/A,Binding Energy/A Error,Binding Energy/A Experimental,Beta Type,Beta-Decay Energy,Beta-Decay Energy Error,Beta-Decay Energy Experimental,Atomic Mass,Atomic Mass Error,Atomic Mass Experimental
24,84,60,144,Nd,,-83747.957,1.367,True,8326.921999999999,0.009000000000000001,True,B-,-2331.863,2.6460000000000004,True,143910092.865,1.4669999999999999,True
22,83,61,144,Pm,,-81416.093,2.964,True,8305.296,0.021,True,B-,549.442,2.668,True,143912596.224,3.181,True
20,82,62,144,Sm,,-81965.535,1.554,True,8303.679,0.011000000000000001,True,B-,-6346.401999999999,10.814,True,143912006.373,1.6680000000000001,True
18,81,63,144,Eu,,-75619.133,10.789000000000001,True,8254.173,0.075,True,B-,-3859.63,29.955,True,143918819.51700002,11.582,True
16,80,64,144,Gd,x,-71759.504,27.945,True,8221.937,0.19399999999999998,True,B-,-9391.323,39.52,True,143922963.0,30.0,True
14,79,65,144,Tb,x,-62368.181,27.945,True,8151.286999999999,0.19399999999999998,True,B-,-5798.098000000001,28.851,True,143933045.0,30.0,True
12,78,66,144,Dy,x,-56570.083,7.172999999999999,True,8105.589,0.05,True,B-,-11960.569,11.104000000000001,True,143939269.514,7.7,True
10,77,67,144,Ho,x,-44609.513,8.477,True,8017.097,0.059000000000000004,True,B-,-8002.0,196.0,False,143952109.714,9.1,True
8,76,68,144,Er,x,-36608.0,196.0,False,7956.0,1.0,False,B-,-14349.0,445.0,False,143960700.0,210.0,False
6,75,69,144,Tm,-p,-22259.0,400.0,False,7851.0,3.0,False,B-,,,True,143976104.0,429.0,False
39,92,53,145,I,x,-40939.0,503.0,False,8068.0,3.0,False,B-,10554.0,503.0,False,144956050.0,540.0,False
37,91,54,145,Xe,x,-51493.329000000005,11.177999999999999,True,8135.0869999999995,0.077,True,B-,8561.086,14.392999999999999,True,144944719.634,12.0,True
35,90,55,145,Cs,,-60054.415,9.067,True,8188.733,0.063,True,B-,7461.7609999999995,12.412,True,144935528.93,9.732999999999999,True
33,89,56,145,Ba,x,-67516.17599999999,8.477,True,8234.798,0.057999999999999996,True,B-,5319.141,14.912,True,144927518.4,9.1,True
31,88,57,145,La,,-72835.317,12.269,True,8266.087,0.085,True,B-,4231.705,35.3,True,144921808.066,13.17,True
29,87,58,145,Ce,,-77067.022,33.902,True,8289.875,0.23399999999999999,True,B-,2558.9179999999997,33.635,True,144917265.144,36.395,True
27,86,59,145,Pr,,-79625.94,7.169,True,8302.127,0.049,True,B-,1806.0120000000002,7.037000000000001,True,144914518.033,7.696000000000001,True
25,85,60,145,Nd,,-81431.951,1.3840000000000001,True,8309.187,0.01,True,B-,-164.47799999999998,2.536,True,144912579.199,1.485,True
23,84,61,145,Pm,,-81267.474,2.859,True,8302.657,0.02,True,B-,-616.156,2.539,True,144912755.773,3.068,True
