N,Z,A,elt,S(2n),S(2n) Error,S(2n) Experimental,S(2p),S(2p) Error,S(2p) Experimental,Q(a),Q(a) Error,Q(a) Experimental,Q(2B-),Q(2B-) Error,Q(2B-) Experimental,Q(ep),Q(ep) Error,Q(ep) Experimental,Q(B- n),Q(B- n) Error,Q(B- n) Experimental,S(n),S(n) Error,S(n) Experimental,S(p),S(p) Error,S(p) Experimental,Q(4B-),Q(4B-) Error,Q(4B-) Experimental,"Q(d,a)","Q(d,a) Error","Q(d,a) Experimental","Q(p,a)","Q(p,a) Error","Q(p,a) Experimental","Q(n,a)","Q(n,a) Error","Q(n,a) Experimental"
14,19,33,K,,,True,501.0,196.0,False,-8545.0,272.0,False,,,True,13088.0,196.0,False,,,True,22128.0,446.0,False,-1953.0,196.0,False,,,True,6427.0,280.0,False,-9025.0,284.0,False,8245.0,277.0,False
24,10,34,Ne,300.0,100.0,False,,,True,,,True,44518.0,514.0,False,,,True,20990.0,682.0,False,1227.0,786.0,False,,,True,72798.0,513.0,False,,,True,1563.0,749.0,False,,,True
23,11,34,Na,3102.67,600.57,True,,,True,-18856.0,845.0,False,34680.4,599.42,True,,,True,18646.5,599.42,True,171.32,749.48,True,21606.0,845.0,False,56228.81,599.42,True,5392.0,783.0,False,5362.58,655.87,True,-18816.0,811.0,False
22,12,34,Mg,6990.39,29.06,True,43254.0,504.0,False,-17381.69,254.89,True,28280.2,32.14,True,-44963.0,597.0,False,8749.41,29.71,True,4710.27,29.02,True,22745.73,450.84,True,38255.03,28.88,True,394.0,47.14,True,941.37,32.08,True,-17211.84,267.76,True
21,13,34,Al,8043.56,7.8,True,36218.38,37.39,True,-13899.87,5.64,True,21548.41,3.18,True,-34069.37,449.92,True,9442.72,3.15,True,2574.23,7.63,True,15251.56,4.22,True,21439.79,3.07,True,8539.42,4.48,True,4985.92,4.35,True,-9599.92,14.31,True
20,14,34,Si,12021.8,14.12,True,33705.89,14.49,True,-13497.95,14.53,True,9974.83,14.12,True,-32208.12,14.41,True,-1690.82,14.16,True,7513.84,14.13,True,18748.44,15.75,True,-1578.56,14.12,True,1853.32,15.84,True,-142.09,14.29,True,-11188.3,14.45,True
19,15,34,P,16386.46,0.81,True,28027.27,7.22,True,-11108.77,3.0,True,-108.62,0.81,True,-23340.29,7.03,True,-6034.16,0.81,True,6282.67,1.36,True,11323.34,1.07,True,-23328.0,196.0,False,10239.79,0.86,True,3264.39,0.81,True,-3951.59,2.38,True
18,16,34,S,20058.79,0.04,True,20431.94,0.3,True,-7923.64,0.05,True,-11553.4,0.07,True,-16706.33,0.7,True,-16999.67,0.39,True,11417.15,0.04,True,10883.31,1.09,True,-43783.0,298.0,False,5083.99,0.06,True,-627.09,0.04,True,-1336.25,0.06,True
17,17,34,Cl,27248.04,0.56,True,14713.15,0.06,True,-6664.14,0.08,True,-23220.0,196.0,False,-5391.71,1.09,True,-23127.11,0.4,True,11508.06,0.39,True,5143.2,0.05,True,,,True,12286.26,0.05,True,-533.5,0.23,True,5646.86,0.05,True
16,18,34,Ar,32320.57,1.77,True,6940.7,0.08,True,-6743.95,0.22,True,-32230.0,298.0,False,918.59,0.08,True,-33492.0,196.0,False,17065.31,0.41,True,4663.92,0.4,True,,,True,5667.19,0.57,True,-6479.68,3.45,True,6310.64,0.24,True
15,19,34,K,38461.0,446.0,False,2464.0,196.0,False,-8088.0,277.0,False,,,True,12494.0,196.0,False,,,True,16334.0,277.0,False,-875.0,196.0,False,,,True,11691.0,196.0,False,-7682.0,280.0,False,11461.0,196.0,False
14,20,34,Ca,,,True,-1474.0,298.0,False,-9505.0,362.0,False,,,True,15947.0,298.0,False,,,True,,,True,480.0,357.0,False,,,True,3464.0,499.0,False,,,True,8172.0,359.0,False
24,11,35,Na,1691.0,807.0,False,,,True,-20336.0,865.0,False,38455.0,670.0,False,,,True,21837.0,671.0,False,1520.0,300.0,False,21899.0,844.0,False,63089.0,670.0,False,2945.0,897.0,False,6097.0,838.0,False,,,True
23,12,35,Mg,5465.15,269.68,True,44935.0,654.0,False,-17966.72,378.92,True,30031.24,272.04,True,-44491.0,579.0,False,10568.76,269.69,True,754.88,271.21,True,23329.3,657.28,True,44485.99,269.67,True,2570.48,524.54,True,1863.69,272.23,True,-15713.0,571.0,False
22,13,35,Al,7868.98,10.15,True,38581.78,449.97,True,-14894.68,15.79,True,24634.07,7.59,True,-39192.81,599.46,True,11661.81,15.92,True,5294.76,7.98,True,15836.05,29.8,True,28789.8,7.36,True,5524.78,7.91,True,5469.23,8.05,True,-13217.48,37.98,True
21,14,35,Si,10019.77,35.86,True,33931.7,35.97,True,-13694.22,35.99,True,14454.75,35.86,True,-30003.78,46.04,True,2085.92,35.87,True,2505.92,38.54,True,18680.14,35.99,True,8655.83,35.86,True,4816.73,36.53,True,1571.96,36.57,True,-7916.16,36.01,True
20,15,35,P,14663.09,2.16,True,30938.36,7.23,True,-12332.01,2.91,True,4155.73,1.87,True,-29146.48,3.6,True,-2997.43,1.87,True,8380.42,2.03,True,12189.92,14.24,True,-13684.91,1.94,True,6367.33,1.99,True,4083.94,1.89,True,-8112.03,7.41,True
19,16,35,S,18402.99,0.04,True,22909.82,0.7,True,-8322.09,0.06,True,-5798.92,0.68,True,-16178.33,14.12,True,-12477.44,0.05,True,6985.84,0.04,True,11586.48,0.81,True,-33634.0,196.0,False,8201.95,1.09,True,322.72,0.06,True,877.88,0.3,True
18,17,35,Cl,24152.83,0.39,True,17254.12,1.09,True,-6997.9,0.04,True,-17840.64,0.51,True,-11753.8,0.81,True,-18706.56,0.08,True,12644.76,0.05,True,6370.81,0.04,True,,,True,8283.13,0.04,True,1866.06,0.04,True,937.75,0.05,True
17,18,35,Ar,29805.63,0.79,True,11039.37,0.68,True,-6429.68,0.72,True,-27835.0,196.0,False,-404.57,0.68,True,-29898.0,196.0,False,12740.31,0.68,True,5896.17,0.68,True,,,True,8666.86,0.78,True,-4848.56,0.88,True,8614.65,0.68,True
16,19,35,K,34358.0,196.0,False,4747.49,0.64,True,-6563.26,3.48,True,,,True,5978.22,0.51,True,-33096.0,298.0,False,18024.0,196.0,False,83.57,0.52,True,,,True,8922.21,0.65,True,-4108.48,1.84,True,7808.18,0.76,True
15,20,35,Ca,,,True,406.0,196.0,False,-8962.0,280.0,False,,,True,15877.0,196.0,False,,,True,17135.0,357.0,False,1281.0,277.0,False,,,True,8457.0,277.0,False,-11446.0,446.0,False,12635.0,196.0,False
25,11,36,Na,1520.0,316.0,False,,,True,,,True,40352.0,694.0,False,,,True,22592.0,729.0,False,0.0,100.0,False,,,True,66554.0,678.0,False,4172.0,850.0,False,5170.0,903.0,False,,,True
24,12,36,Mg,4085.82,690.84,True,47039.0,860.0,False,-19044.0,854.0,False,32816.28,693.96,True,,,True,12532.57,690.28,True,3330.94,741.05,True,25140.0,962.0,False,51044.29,690.24,True,-589.15,914.18,True,1464.1,823.92,True,-19971.0,912.0,False
23,13,36,Al,7191.96,149.54,True,40307.67,617.78,True,-15114.68,154.08,True,26201.42,150.08,True,-39570.0,687.0,False,12270.52,153.74,True,1897.21,149.69,True,16978.37,308.34,True,35472.39,149.5,True,8337.84,152.27,True,5852.14,149.53,True,-12183.33,474.1,True
22,14,36,Si,8621.91,73.17,True,35337.41,77.39,True,-14032.14,71.87,True,18228.01,71.8,True,-35364.88,279.06,True,4350.36,71.82,True,6115.98,80.25,True,19501.37,72.17,True,17795.42,71.8,True,1274.97,71.86,True,925.31,72.14,True,-11752.02,71.86,True
21,15,36,P,11844.97,13.14,True,31828.69,13.47,True,-11576.58,14.95,True,9270.97,13.11,True,-27316.28,15.04,True,523.85,13.11,True,3464.55,13.24,True,13148.55,38.18,True,-2833.97,13.12,True,10416.62,19.27,True,5127.35,13.13,True,-6107.25,14.86,True
20,16,36,S,16875.08,0.19,True,25285.22,14.12,True,-9011.36,0.35,True,-432.59,0.19,True,-23561.64,35.86,True,-9721.92,0.19,True,9889.24,0.19,True,13095.3,1.86,True,-24212.98,40.0,True,4595.37,0.83,True,537.27,1.11,True,-4503.4,0.72,True
19,17,36,Cl,21224.56,0.05,True,19551.25,0.81,True,-7642.05,0.05,True,-12104.94,0.34,True,-11953.18,1.87,True,-14546.04,0.68,True,8579.79,0.0,True,7964.77,0.03,True,-44873.0,298.0,False,11120.49,0.04,True,1927.9,0.04,True,2461.74,1.09,True
18,18,36,Ar,27995.88,0.08,True,14877.8,0.05,True,-6640.92,0.03,True,-23780.39,40.0,True,-8674.3,0.05,True,-27129.97,0.51,True,15255.57,0.68,True,8506.98,0.04,True,,,True,4919.35,0.06,True,-4364.15,0.39,True,2000.72,0.03,True
17,19,36,K,32339.0,196.0,False,7554.92,0.34,True,-6507.31,0.61,True,-32768.0,298.0,False,4307.49,0.34,True,-30276.0,196.0,False,14315.49,0.62,True,1658.75,0.76,True,,,True,11672.03,0.35,True,-3168.72,0.53,True,9232.67,0.52,True
16,20,36,Ca,36445.0,301.0,False,2650.8,40.0,True,-6675.71,40.04,True,,,True,9307.16,40.01,True,,,True,19310.0,200.0,False,2567.23,40.0,True,,,True,5480.0,200.0,False,-8629.0,200.0,False,8579.55,40.0,True
15,21,36,Sc,,,True,-1993.0,357.0,False,-8172.0,499.0,False,,,True,19235.0,298.0,False,,,True,,,True,-3274.0,357.0,False,,,True,12211.0,422.0,False,,,True,13955.0,357.0,False
26,11,37,Na,840.0,150.0,False,,,True,,,True,43724.0,710.0,False,,,True,25083.0,974.0,False,840.0,180.0,False,,,True,72530.0,688.0,False,,,True,5557.0,857.0,False,,,True
25,12,37,Mg,3570.94,749.16,True,,,True,-20211.0,919.0,False,34782.99,708.15,True,,,True,14189.77,714.76,True,240.0,110.0,True,25380.0,974.0,False,55107.89,698.95,True,691.0,968.0,False,1395.42,920.78,True,-18984.0,867.0,False
24,13,37,Al,6109.34,180.39,True,43000.0,694.0,False,-16395.46,484.67,True,28805.56,184.2,True,-43782.0,701.0,False,14174.37,194.02,True,4212.14,234.18,True,17859.56,713.38,True,41571.1,180.24,True,4880.59,324.36,True,6350.27,182.54,True,-16224.15,625.93,True
23,14,37,Si,8322.69,119.32,True,36789.24,292.7,True,-13958.72,113.85,True,20324.91,113.81,True,-34240.64,699.56,True,5608.21,114.56,True,2206.7,134.56,True,19810.87,187.89,True,24376.15,113.81,True,4363.02,114.05,True,1292.83,113.85,True,-9248.46,117.42,True
22,15,37,P,10280.83,37.99,True,33350.21,38.65,True,-12923.53,38.59,True,12765.54,37.95,True,-32235.35,154.25,True,3596.82,37.95,True,6816.28,40.15,True,13848.84,81.21,True,5804.2,37.95,True,6106.27,52.21,True,5824.91,40.49,True,-10349.31,38.07,True
21,16,37,S,14192.84,0.2,True,27082.9,35.86,True,-8807.01,0.73,True,4051.25,0.28,True,-21749.26,71.8,True,-5445.73,0.2,True,4303.6,0.06,True,13934.35,13.11,True,-13760.35,0.66,True,8672.19,1.86,True,2516.34,0.83,True,-1293.16,14.12,True
20,17,37,Cl,18890.64,0.06,True,21481.68,1.87,True,-7849.11,1.09,True,-6961.34,0.11,True,-18799.47,13.11,True,-9601.32,0.06,True,10310.85,0.06,True,8386.38,0.19,True,-35282.0,300.0,False,7795.47,0.07,True,3034.2,0.07,True,-1566.44,0.81,True
19,18,37,Ar,24043.01,0.71,True,16679.4,0.21,True,-6786.73,0.21,True,-17811.6,0.67,True,-7572.5,0.27,True,-21601.92,0.4,True,8787.44,0.21,True,8714.63,0.21,True,,,True,8776.67,0.21,True,-1643.53,0.21,True,4630.42,0.21,True
18,19,37,K,29769.94,0.52,True,10364.61,0.1,True,-6221.78,0.4,True,-28320.0,300.0,False,-2567.16,0.1,True,-26420.37,40.0,True,15454.45,0.35,True,1857.63,0.09,True,,,True,8957.89,0.69,True,-1557.85,0.12,True,5286.28,0.11,True
17,20,37,Ca,34067.0,196.0,False,4666.72,0.93,True,-6176.69,0.75,True,,,True,9806.5,0.63,True,-36558.0,298.0,False,14756.23,40.01,True,3007.97,0.72,True,,,True,8747.63,0.82,True,-7052.0,196.0,False,10888.63,0.64,True
16,21,37,Sc,,,True,-115.0,300.0,False,-5947.0,358.0,False,,,True,13648.0,300.0,False,,,True,19902.0,423.0,False,-2682.0,303.0,False,,,True,9443.0,358.0,False,-5467.0,423.0,False,10387.0,358.0,False
26,12,38,Mg,2449.0,854.0,False,,,True,-21192.0,718.0,False,38244.0,514.0,False,,,True,16193.0,534.0,False,2209.0,861.0,False,26749.0,851.0,False,60935.0,503.0,False,-1518.0,844.0,False,707.0,838.0,False,,,True
25,13,38,Al,5883.16,403.2,True,44671.0,774.0,False,-17895.17,706.77,True,30831.42,381.43,True,-44613.0,782.0,False,14710.05,391.37,True,1671.02,415.58,True,19290.59,792.94,True,46007.96,374.46,True,6540.51,785.27,True,5434.13,461.46,True,-16375.0,768.0,False
24,14,38,Si,7876.81,127.03,True,39128.4,698.15,True,-14918.56,108.7,True,22690.9,105.04,True,-39670.74,706.76,True,6754.38,111.45,True,5670.1,154.71,True,21268.83,208.49,True,30544.52,104.79,True,590.12,182.57,True,917.48,105.05,True,-14163.68,289.31,True
23,15,38,P,10513.16,73.76,True,35149.89,166.19,True,-14046.19,72.65,True,15176.54,72.58,True,-31720.1,194.31,True,4203.54,72.58,True,3696.88,81.9,True,15339.02,134.98,True,14179.19,72.58,True,8525.37,102.09,True,4633.95,80.95,True,-8751.43,72.95,True
22,16,38,S,12339.71,7.17,True,29003.02,72.15,True,-9329.27,15.83,True,7853.62,7.17,True,-27578.66,114.04,True,-3170.98,7.17,True,8036.1,7.17,True,15154.18,38.62,True,-4802.7,7.17,True,4100.64,14.95,True,2860.65,7.41,True,-6823.34,36.57,True
21,17,38,Cl,16418.73,0.1,True,24125.01,13.11,True,-7674.32,0.82,True,-997.35,0.22,True,-18091.08,37.95,True,-6921.76,0.22,True,6107.88,0.08,True,10190.66,0.21,True,-25549.0,200.0,False,11576.83,0.2,True,3912.16,0.11,True,706.1,1.87,True
20,18,38,Ar,20625.92,0.2,True,18628.63,0.27,True,-7208.05,0.2,True,-12656.32,0.06,True,-15107.37,0.28,True,-17985.94,0.22,True,11838.47,0.28,True,10242.25,0.2,True,-45584.0,300.0,False,5517.99,0.2,True,-837.24,0.2,True,-222.21,0.2,True
19,19,38,K,27526.32,0.39,True,13856.69,0.2,True,-6785.59,0.2,True,-24551.0,200.0,False,-4328.19,0.2,True,-23736.01,0.66,True,12071.87,0.22,True,5142.06,0.28,True,,,True,12141.59,0.2,True,-889.42,0.71,True,5859.17,0.2,True
18,20,38,Ca,31749.98,40.0,True,6404.9,0.2,True,-6105.12,0.21,True,-32928.0,300.0,False,1600.19,0.28,True,-33650.0,300.0,False,16993.75,0.66,True,4547.27,0.22,True,,,True,6069.37,0.39,True,-6021.55,0.55,True,6635.19,0.71,True
17,21,38,Sc,35743.0,359.0,False,1410.0,200.0,False,-5454.0,280.0,False,,,True,13262.0,200.0,False,,,True,15841.0,361.0,False,-1598.0,200.0,False,,,True,12912.0,204.0,False,-4173.0,280.0,False,12570.0,200.0,False
16,22,38,Ti,,,True,-2743.0,303.0,False,-5407.0,423.0,False,,,True,16717.0,300.0,False,,,True,,,True,-61.0,424.0,False,,,True,6229.0,423.0,False,,,True,11728.0,358.0,False
27,12,39,Mg,2079.0,867.0,False,,,True,,,True,39955.0,530.0,False,,,True,17994.0,635.0,False,-130.0,100.0,False,,,True,65438.0,515.0,False,-548.0,857.0,False,837.0,850.0,False,,,True
26,13,39,Al,5302.0,438.0,False,47462.0,795.0,False,-20006.0,780.0,False,33425.0,415.0,False,,,True,16749.0,413.0,False,3631.0,548.0,False,20713.0,642.0,False,50450.0,400.0,False,3150.0,805.0,False,5134.0,798.0,False,-20006.0,787.0,False
25,14,39,Si,7250.77,176.98,True,40469.06,711.97,True,-15744.35,301.81,True,25483.02,144.46,True,-39043.0,521.0,False,8870.6,153.74,True,1580.67,171.32,True,21178.48,398.23,True,35562.54,135.62,True,3221.59,225.51,True,1234.02,201.79,True,-12413.4,703.42,True
24,15,39,P,9921.27,118.86,True,37162.14,212.55,True,-14975.82,112.88,True,17025.57,112.66,True,-36273.46,391.04,True,6015.25,112.87,True,6224.39,134.0,True,15893.31,153.85,True,21032.56,112.64,True,4507.68,160.13,True,4525.54,133.58,True,-13078.62,187.19,True
23,16,39,S,12408.88,50.0,True,31169.1,124.31,True,-11196.13,61.53,True,10079.52,50.25,True,-26281.34,116.11,True,-1435.88,50.0,True,4372.78,50.51,True,15830.07,88.14,True,4120.04,50.0,True,6544.14,62.77,True,1952.42,51.69,True,-5080.14,87.49,True
22,17,39,Cl,14181.3,1.73,True,25382.15,37.99,True,-7367.32,2.55,True,4006.99,1.73,True,-22467.61,72.6,True,-3156.7,1.74,True,8073.42,1.73,True,10227.97,7.38,True,-15627.5,24.06,True,7807.02,1.74,True,5727.98,1.74,True,-3902.77,13.23,True
21,18,39,Ar,18437.16,5.0,True,20923.71,5.0,True,-6820.9,5.0,True,-5959.49,5.04,True,-13669.96,8.74,True,-12512.75,5.0,True,6598.69,5.0,True,10733.06,5.0,True,-35442.0,200.0,False,9230.15,5.0,True,1143.87,5.0,True,3068.34,5.0,True
20,19,39,K,25149.63,0.09,True,16623.59,0.05,True,-7218.58,0.04,True,-19634.48,24.0,True,-11298.06,0.1,True,-19820.01,0.19,True,13077.75,0.2,True,6381.34,0.19,True,,,True,7851.28,0.21,True,1288.4,0.03,True,1361.22,0.04,True
19,20,39,Ca,30289.27,0.87,True,10912.98,0.63,True,-6660.33,0.9,True,-29483.0,200.0,False,143.15,0.63,True,-31105.0,200.0,False,13295.52,0.63,True,5770.92,0.63,True,,,True,8228.3,0.6,True,-5001.58,0.69,True,8595.24,0.6,True
18,21,39,Sc,33835.0,301.0,False,3950.45,24.0,True,-5424.73,24.01,True,,,True,7339.08,24.0,True,-33114.0,301.0,False,17995.0,202.0,False,-596.82,24.0,True,,,True,9674.16,24.01,True,-2857.5,46.65,True,8890.76,24.0,True
17,22,39,Ti,,,True,-758.0,200.0,False,-5013.0,280.0,False,,,True,16970.0,200.0,False,,,True,16741.0,361.0,False,839.0,283.0,False,,,True,9391.0,361.0,False,-8287.0,359.0,False,14298.0,204.0,False
28,12,40,Mg,1867.0,709.0,False,,,True,,,True,42920.0,608.0,False,,,True,19629.0,640.0,False,1997.0,716.0,False,,,True,71188.0,500.0,False,,,True,-320.0,850.0,False,,,True
27,13,40,Al,4763.0,548.0,False,,,True,-21138.0,787.0,False,35704.0,428.0,False,,,True,17198.0,422.0,False,1132.0,565.0,False,21974.0,650.0,False,55148.0,401.0,False,4227.0,642.0,False,4243.0,805.0,False,-20298.0,795.0,False
26,14,40,Si,6542.66,360.68,True,43222.0,610.0,False,-17375.39,771.71,True,28267.52,345.14,True,-44135.0,618.0,False,10133.0,363.04,True,4961.99,370.78,True,22510.0,528.0,False,40469.57,345.12,True,-69.37,509.24,True,484.17,389.35,True,-17135.39,779.51,True
25,15,40,P,9635.44,169.87,True,38902.17,404.73,True,-16489.67,214.33,True,19443.44,156.89,True,-36054.0,428.0,False,6976.98,161.52,True,3411.05,190.46,True,17723.69,204.83,True,25421.12,153.58,True,6766.73,185.93,True,3321.2,191.15,True,-12277.53,236.8,True
24,16,40,S,12119.28,8.2,True,33245.49,104.87,True,-12826.64,71.91,True,12202.05,3.98,True,-32447.17,135.59,True,-1108.96,4.34,True,7746.5,50.16,True,17352.18,112.72,True,12008.54,3.98,True,2494.52,72.69,True,1022.21,38.16,True,-10619.93,113.88,True
23,17,40,Cl,13902.34,32.07,True,27514.19,79.35,True,-9731.69,34.64,True,5977.68,32.07,True,-22072.15,117.12,True,-2386.94,32.45,True,5828.93,32.11,True,11684.12,59.4,True,-7034.48,32.19,True,10014.2,32.86,True,4202.66,32.07,True,-2915.41,49.68,True
22,18,40,Ar,16467.71,0.19,True,22756.63,7.17,True,-6800.68,0.19,True,-193.51,0.02,True,-19166.2,50.0,True,-9304.02,0.0,True,9869.02,5.0,True,12528.66,1.73,True,-26189.51,160.0,True,5469.01,0.1,True,1585.7,0.05,True,-2497.08,0.2,True
21,19,40,K,20877.37,0.2,True,18315.33,0.11,True,-6438.4,0.07,True,-13012.16,2.83,True,-11024.26,1.73,True,-14324.11,0.6,True,7799.62,0.06,True,7582.27,5.0,True,-45705.0,300.0,False,11890.14,0.2,True,2276.23,0.21,True,3872.45,0.08,True
20,20,40,Ca,28930.52,0.2,True,14709.5,0.2,True,-7039.76,0.03,True,-25996.0,160.0,True,-8893.16,5.0,True,-28744.99,24.0,True,15635.0,0.6,True,8328.16,0.02,True,,,True,4665.18,0.2,True,-5182.13,0.1,True,1747.68,0.21,True
19,21,40,Sc,32416.0,200.0,False,6300.52,2.83,True,-5531.19,2.85,True,-32693.0,300.0,False,5994.88,2.83,True,-30795.0,200.0,False,14421.94,24.17,True,529.6,2.89,True,,,True,12245.97,2.83,True,-2523.21,2.9,True,9923.27,2.83,True
18,22,40,Ti,35863.0,340.0,False,1369.83,160.0,True,-4824.15,164.92,True,,,True,11143.35,160.0,True,,,True,19122.0,256.0,False,1966.65,161.79,True,,,True,6110.0,256.0,False,-7506.0,340.0,False,9932.08,160.0,True
17,23,40,V,,,True,-1842.0,361.0,False,-5606.0,423.0,False,,,True,19054.0,301.0,False,,,True,,,True,-2681.0,361.0,False,,,True,12011.0,424.0,False,,,True,14296.0,424.0,False
28,13,41,Al,3373.0,640.0,False,,,True,-22539.0,850.0,False,38400.0,514.0,False,,,True,19919.0,608.0,False,2241.0,640.0,False,22219.0,707.0,False,60727.0,505.0,False,1856.0,716.0,False,4210.0,709.0,False,,,True
27,14,41,Si,6343.32,571.02,True,44734.0,755.0,False,-18516.72,892.31,True,31128.25,554.72,True,-43519.0,747.0,False,12162.72,575.57,True,1381.33,653.3,True,22759.0,684.0,False,45187.17,554.7,True,2180.0,684.0,False,773.86,669.27,True,-16308.0,749.0,False
26,15,41,P,8347.77,164.71,True,40208.0,417.0,False,-17214.25,216.63,True,22327.42,138.43,True,-39859.0,417.0,False,9786.76,120.23,True,4936.71,195.0,True,17698.42,365.44,True,30579.78,120.16,True,3410.69,181.13,True,4054.59,159.44,True,-15543.22,393.27,True
25,16,41,S,11988.54,50.17,True,35906.87,135.59,True,-14861.98,113.88,True,14058.93,4.11,True,-31727.23,345.14,True,477.92,32.33,True,4242.05,5.71,True,18183.18,153.64,True,16129.31,4.1,True,4476.86,112.72,True,477.04,72.7,True,-9191.88,104.87,True
24,17,41,Cl,13649.62,68.75,True,29110.5,131.95,True,-10736.11,78.5,True,8252.35,68.72,True,-26481.79,168.26,True,-338.61,68.72,True,7820.69,75.84,True,11758.31,68.84,True,1335.22,68.72,True,6566.28,84.99,True,4418.07,69.1,True,-7039.22,99.95,True
23,18,41,Ar,15967.95,5.01,True,24482.78,50.0,True,-8596.0,0.4,True,2070.38,0.37,True,-17518.63,4.0,True,-7603.33,0.35,True,6098.93,0.35,True,12798.66,32.07,True,-17369.97,27.95,True,7443.51,1.77,True,1594.65,0.36,True,-559.9,7.18,True
22,19,41,K,17894.99,0.01,True,20337.28,1.73,True,-6222.92,0.05,True,-6917.13,0.08,True,-15290.7,32.07,True,-8784.48,0.02,True,10095.37,0.06,True,7808.62,0.0,True,-35880.0,200.0,False,8393.45,5.0,True,4019.33,0.2,True,-115.04,0.1,True
21,20,41,Ca,23997.82,0.61,True,16473.64,5.0,True,-6615.14,0.25,True,-19440.35,27.95,True,-7386.97,0.14,True,-22685.87,2.83,True,8362.82,0.14,True,8891.37,0.15,True,,,True,9380.11,0.14,True,-1473.08,0.24,True,5223.33,0.24,True
20,21,41,Sc,30612.34,24.0,True,9413.16,0.08,True,-6267.13,0.13,True,-28963.0,200.0,False,-2395.89,0.1,True,-27863.34,160.0,True,16190.39,2.83,True,1085.0,0.08,True,,,True,9351.1,0.6,True,-1719.86,0.21,True,5804.74,0.21,True
19,22,41,Ti,34040.0,202.0,False,2992.78,27.95,True,-4986.39,27.95,True,,,True,11859.88,27.94,True,-35939.0,301.0,False,14918.47,162.42,True,2463.17,28.09,True,,,True,9185.98,36.84,True,-6584.0,202.0,False,12007.36,27.95,True
18,23,41,V,,,True,85.0,202.0,False,-5625.0,361.0,False,,,True,13555.0,200.0,False,,,True,19921.0,361.0,False,-1882.0,256.0,False,,,True,8831.0,283.0,False,-5685.0,361.0,False,10216.0,283.0,False
29,13,42,Al,3633.0,721.0,False,,,True,,,True,39090.0,677.0,False,,,True,19909.0,817.0,False,1392.0,781.0,False,,,True,64932.0,603.0,False,2461.0,781.0,False,2689.0,789.0,False,,,True
28,14,42,Si,5103.0,608.0,False,46458.0,707.0,False,-20029.0,709.0,False,34107.0,500.0,False,,,True,13378.0,514.0,False,3721.0,747.0,False,24239.0,707.0,False,50892.0,500.0,False,-409.0,640.0,False,684.0,640.0,False,-20159.0,716.0,False
27,15,42,P,7018.52,349.89,True,41158.0,508.0,False,-17625.03,488.93,True,25841.51,319.98,True,-39699.0,591.0,False,11947.0,314.41,True,2081.81,336.56,True,18398.9,637.6,True,36031.77,314.38,True,6290.87,466.84,True,3553.44,342.35,True,-13994.0,508.0,False
26,16,42,S,10942.53,4.86,True,37645.37,345.13,True,-15892.36,104.83,True,16784.93,6.42,True,-37046.38,554.71,True,1598.13,68.78,True,6700.49,4.96,True,19946.95,120.2,True,20909.5,2.8,True,1187.43,153.61,True,0.94,112.68,True,-14311.7,135.56,True
25,17,42,Cl,13416.59,67.69,True,31295.34,164.75,True,-12635.12,93.93,True,10190.26,59.62,True,-27140.97,134.14,True,164.42,59.62,True,5595.9,90.98,True,13112.16,59.76,True,7289.39,59.62,True,8716.88,59.75,True,3194.95,77.81,True,-6410.73,127.45,True
24,18,42,Ar,15525.41,5.78,True,26162.77,7.02,True,-9986.39,9.21,True,4124.57,5.78,True,-22703.07,7.08,True,-6934.45,5.78,True,9426.49,5.79,True,14404.46,68.97,True,-9318.0,5.78,True,3845.94,32.58,True,241.58,6.03,True,-5613.61,50.33,True
23,19,42,K,17629.17,0.12,True,22042.15,32.07,True,-7648.84,0.14,True,-2900.87,0.2,True,-15003.81,68.72,True,-7955.45,0.17,True,7533.8,0.11,True,9243.49,0.36,True,-27402.0,196.0,False,10728.67,0.11,True,3084.22,5.0,True,424.58,1.74,True
22,20,42,Ca,19843.49,0.15,True,18085.29,0.15,True,-6257.34,0.25,True,-13442.57,0.24,True,-12768.71,0.38,True,-17976.15,0.16,True,11480.67,0.06,True,10276.67,0.15,True,-45277.0,400.0,False,5699.05,0.16,True,124.0,0.15,True,341.35,5.0,True
21,21,42,Sc,27740.45,2.83,True,13163.6,0.18,True,-5745.31,0.26,True,-24502.0,196.0,False,-3850.58,0.17,True,-24494.93,27.95,True,11550.06,0.16,True,4272.23,0.1,True,,,True,13436.04,0.17,True,25.6,0.62,True,7332.44,0.17,True
20,22,42,Ti,32396.92,160.0,True,4836.23,0.28,True,-5471.09,0.34,True,-31835.0,400.0,False,2744.25,0.24,True,-33496.0,200.0,False,17478.45,27.95,True,3751.23,0.27,True,,,True,6129.47,2.84,True,-6067.91,24.0,True,7824.43,0.66,True
19,23,42,V,35932.0,358.0,False,1674.0,196.0,False,-5795.0,280.0,False,,,True,13734.0,196.0,False,,,True,16011.0,280.0,False,-789.0,198.0,False,,,True,11942.0,253.0,False,-4956.0,280.0,False,12199.0,197.0,False
18,24,42,Cr,,,True,-1002.0,430.0,False,-6564.0,500.0,False,,,True,15139.0,401.0,False,,,True,,,True,879.0,447.0,False,,,True,5271.0,500.0,False,,,True,10176.0,447.0,False
30,13,43,Al,2543.0,944.0,False,,,True,,,True,42340.0,974.0,False,,,True,22479.0,944.0,False,1151.0,1000.0,False,,,True,71179.0,803.0,False,,,True,3534.0,944.0,False,,,True
