N,Z,A,elt,S(2n),S(2n) Error,S(2n) Experimental,S(2p),S(2p) Error,S(2p) Experimental,Q(a),Q(a) Error,Q(a) Experimental,Q(2B-),Q(2B-) Error,Q(2B-) Experimental,Q(ep),Q(ep) Error,Q(ep) Experimental,Q(B- n),Q(B- n) Error,Q(B- n) Experimental,S(n),S(n) Error,S(n) Experimental,S(p),S(p) Error,S(p) Experimental,Q(4B-),Q(4B-) Error,Q(4B-) Experimental,"Q(d,a)","Q(d,a) Error","Q(d,a) Experimental","Q(p,a)","Q(p,a) Error","Q(p,a) Experimental","Q(n,a)","Q(n,a) Error","Q(n,a) Experimental"
77,55,132,Cs,16395.57,8.42,True,14794.48,3.33,True,-1838.87,3.79,True,-3429.03,36.37,True,-6998.94,1.2,True,-8540.27,2.77,True,7165.21,5.08,True,6028.09,1.04,True,-11925.23,28.89,True,13438.59,1.04,True,6407.43,1.04,True,7000.85,3.33,True
76,56,132,Ba,17316.11,2.69,True,13132.5,1.05,True,-999.63,1.5,True,-5964.12,20.49,True,-7310.43,1.05,True,-12737.08,27.96,True,9822.6,2.7,True,7665.2,5.07,True,-17009.21,24.23,True,9175.53,8.42,True,3928.28,4.67,True,5907.44,1.05,True
75,57,132,La,18238.92,44.67,True,11401.85,37.31,True,-216.98,36.76,True,-8496.19,46.43,True,-2953.83,36.7,True,-12086.53,48.97,True,8025.71,45.86,True,4328.89,36.45,True,-22096.0,153.0,False,14248.7,36.44,True,6203.6,37.86,True,9422.0,36.64,True
74,58,132,Ce,19190.63,34.62,True,9787.29,20.45,True,482.69,20.78,True,-11045.09,31.68,True,-3076.14,20.46,True,-16241.56,51.25,True,10833.77,38.65,True,5990.61,34.62,True,-27392.0,299.0,False,9867.28,33.03,True,3717.73,29.54,True,8238.7,22.95,True
73,59,132,Pr,20194.63,70.46,True,8178.03,38.82,True,973.06,61.63,True,-13600.0,152.0,False,1252.83,40.18,True,-15530.74,39.89,True,8998.12,55.16,True,2807.99,43.7,True,-33027.0,401.0,False,14906.26,40.18,True,5924.1,40.18,True,11743.52,35.91,True
72,60,132,Nd,20972.21,36.97,True,6580.84,36.97,True,1683.19,36.97,True,-16347.0,299.0,False,993.66,40.77,True,-19837.0,202.0,False,11729.09,36.65,True,4414.12,52.86,True,,,True,10460.46,68.68,True,3211.81,38.4,True,10508.09,36.97,True
71,61,132,Pm,22374.0,246.0,False,5030.0,162.0,False,2278.0,152.0,False,-19427.0,426.0,False,5384.0,156.0,False,-19566.0,427.0,False,10039.0,250.0,False,1149.0,152.0,False,,,True,15679.0,152.0,False,5551.0,251.0,False,13792.0,152.0,False
70,62,132,Sm,23716.0,499.0,False,3061.0,299.0,False,2810.0,357.0,False,,,True,5400.0,299.0,False,-23880.0,499.0,False,13018.0,499.0,False,2708.0,359.0,False,,,True,11028.0,357.0,False,2666.0,422.0,False,12882.0,360.0,False
69,63,132,Eu,24660.0,640.0,False,1382.0,445.0,False,3160.0,499.0,False,,,True,10171.0,447.0,False,,,True,11002.0,566.0,False,-644.0,566.0,False,,,True,16017.0,566.0,False,4664.0,640.0,False,16327.0,499.0,False
85,48,133,Cd,4844.0,315.0,False,,,True,-8735.0,670.0,False,26954.0,298.0,False,,,True,10420.0,304.0,False,1728.0,357.0,False,17419.0,582.0,False,39017.0,298.0,False,7171.0,582.0,False,6641.0,582.0,False,,,True
